Sample	Intergenic	Intronic	Exonic
T004-B1BALCells-PB-miRNA_S1.Homo_sapiens	2063842.0	12008499.0	7598744.0
T004-B2BCGBAL-PB-miRNA_S11.Homo_sapiens	13050163.0	23546483.0	7934291.0
T004-B2PPDBAL-PB-miRNA_S10.Homo_sapiens	7113447.0	11880745.0	2657478.0
T004-B2SalBAL-PB-miRNA_S9.Homo_sapiens	1079282.0	8069037.0	8643307.0
T006-B1BALCells-PBmiRNA_S2.Homo_sapiens	1303858.0	8887480.0	9671001.0
T006-B2BCGBAL-PBmiRNA_S13.Homo_sapiens	978076.0	7040527.0	12913724.0
T006-B2PPDBAL-PLmiRNA_S15.Homo_sapiens	5162292.0	16811878.0	11273840.0
T006-B2SalBAL-PBmiRNA_S12.Homo_sapiens	1266167.0	11710518.0	8310554.0
T006-B2TSTBAL-PBmiRNA_S14.Homo_sapiens	5942729.0	17530382.0	9887442.0
T007-B1BALCells-PBmiRNA1_S26.Homo_sapiens	4788570.0	14720345.0	10864065.0
T007-B1BALCells-PLmiRNA2_S27.Homo_sapiens	1065602.0	4639077.0	12994116.0
T007-B2BCGBAL-PBmiRNA1_S2.Homo_sapiens	1757648.0	9220480.0	11796184.0
T007-B2BCGBAL-PLmiRNA2_S3.Homo_sapiens	1617415.0	8175160.0	13099420.0
T007-B2PPDBAL-PBmiRNA_S1.Homo_sapiens	1786111.0	13142591.0	12547194.0
T007-B2SalBAL-PBmiRNA_S29.Homo_sapiens	2412266.0	16799324.0	11548750.0
T009-B1BALCells-PBmiRNA_S25.Homo_sapiens	1882238.0	12176671.0	5931274.0
T009-B2BCGBAL-PBmiRNA_S7.Homo_sapiens	2271806.0	10508970.0	9823229.0
T009-B2PPDBAL-PBmiRNA_S28.Homo_sapiens	2506717.0	22939635.0	12505064.0
T009-B2SalBAL-PBmiRNA_S6.Homo_sapiens	1449270.0	9733803.0	8037169.0
T010-B1BALRNA-PBmiRNA_S9.Homo_sapiens	1812536.0	15426528.0	8340412.0
T011-B1BALCells-PBmiRNA_S4.Homo_sapiens	1390814.0	7735038.0	10397971.0
T011-B2BCGBAL-PBmiRNA_S22.Homo_sapiens	1638481.0	11264413.0	9647827.0
T011-B2BCGBAL-PBmiRNA_S5.Homo_sapiens	1622329.0	10704237.0	7272247.0
T011-B2PPDBAL-PBmiRNA1_S23.Homo_sapiens	5001782.0	10786673.0	13317491.0
T011-B2PPDBAL-PLmiRNA2_S24.Homo_sapiens	4459319.0	12543970.0	6339695.0
T012-BALRNA-PBmiRNA_S8.Homo_sapiens	2060539.0	17752630.0	10644648.0
T013-B1BALCells-PBmiRNA_S4.Homo_sapiens	2218651.0	13969124.0	7691823.0
T013-B2BCGBAL-PBmiRNA_S7.Homo_sapiens	2117036.0	19174535.0	10952921.0
T013-B2PPDBAL-PBmiRNA_S6.Homo_sapiens	11546590.0	19623741.0	7365264.0
T013-B2SalBAL-PBmiRNA_S5.Homo_sapiens	1321216.0	9025288.0	9014821.0
T014-B1BALCells-PLmiRNA2_S28.Homo_sapiens	9447737.0	20576477.0	12085933.0
T014-B1BALRNA-PBmiRNA1_S27.Homo_sapiens	1857183.0	8731706.0	16144971.0
T014-B2BCGBAL-PBmiRNA1_S3.Homo_sapiens	1998356.0	11683340.0	13611049.0
T014-B2BCGBAL-PLmiRNA2_S4.Homo_sapiens	10868990.0	22652330.0	10692885.0
T014-B2PPDBAL-PBmiRNA1_S1.Homo_sapiens	1688498.0	11388566.0	14681606.0
T014-B2PPDBAL-PLmiRNA2_S2.Homo_sapiens	10857777.0	21821355.0	11670967.0
T014-B2SalBAL-PBmiRNA_S29.Homo_sapiens	6716327.0	16611120.0	10200781.0
T015-B1BALCells-PBmiRNA_S18.Homo_sapiens	2681745.0	19163446.0	12424294.0
T015-B2BCGBAL-PBmiRNA_S22.Homo_sapiens	2396540.0	18437139.0	9714446.0
T015-B2PPDBAL-PBmiRNA_S21.Homo_sapiens	5942022.0	16757944.0	15058864.0
T015-B2SalBAL-PBmiRNA1_S19.Homo_sapiens	995798.0	6665512.0	9769288.0
T015-B2SalBAL-PLmiRNA2_S20.Homo_sapiens	2082274.0	7635252.0	17554789.0
T016-B1BALCells-PBmiRNA_S16.Homo_sapiens	3536015.0	10744511.0	10415571.0
T016-B2BCGBAL-PBmiRNA1_S17.Homo_sapiens	1739251.0	10527003.0	11629415.0
T016-B2BCGBAL-PBmiRNA2_S18.Homo_sapiens	1550221.0	12921313.0	8808178.0
T016-B2PPDBAL-PBmiRNA_S19.Homo_sapiens	2001746.0	15243630.0	11312987.0
T021-B1BALCells-PLmiRNA_S3.Homo_sapiens	1260919.0	8479158.0	5888155.0
T021-B2Sal2BAL-PLmiRNA_S20.Homo_sapiens	1163362.0	6107314.0	8213157.0
T021-B2Sal3BAL-PLmiRNA_S21.Homo_sapiens	1067733.0	3325331.0	10174903.0
T023-B1BALCells-PBmiRNA_S10.Homo_sapiens	1886344.0	17748182.0	10793462.0
T023-B2BCGBAL-PBmiRNA_S12.Homo_sapiens	973912.0	7261015.0	9358289.0
T023-B2PPDBAL-PBmiRNA_S11.Homo_sapiens	1032754.0	10512376.0	7633759.0
T023-B2SalBAL-PBmiRNA_S8.Homo_sapiens	1099325.0	8347408.0	10451526.0
T025-B1BALRNA-PBmiRNA_S10.Homo_sapiens	1553950.0	12471268.0	10255789.0
T025-B2BCGBAL-PBmiRNA_S14.Homo_sapiens	1486697.0	11467539.0	12512562.0
T025-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens	5003109.0	18164634.0	12999438.0
T025-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens	9453331.0	24848869.0	12008481.0
T025-B2SalBAL-PBmiRNA_S11.Homo_sapiens	1475088.0	10412933.0	10783843.0
T026-B1BALCells-PBmiRNA_S13.Homo_sapiens	1837920.0	13230602.0	10076023.0
T026-B2BCGBAL-PBmiRNA_S17.Homo_sapiens	1200508.0	9038738.0	10394310.0
T026-B2PPDBAL-PBmiRNA1_S15.Homo_sapiens	1861084.0	12055977.0	10817355.0
T026-B2PPDBAL-PLmiRNA2_S16.Homo_sapiens	11540806.0	19509141.0	7311834.0
T026-B2SalBAL-PBmiRNA_S14.Homo_sapiens	1473661.0	12444560.0	7519102.0
T028-B1BAL-PBmiRNA_S23.Homo_sapiens	1766896.0	10887225.0	13561874.0
T028-B2BCGBAL-PBmiRNA_S26.Homo_sapiens	2868236.0	21555598.0	12087718.0
T028-B2PPDBAL-PBmiRNA_S25.Homo_sapiens	3753778.0	19036481.0	16061083.0
T028-B2SalBAL-PBmiRNA_S24.Homo_sapiens	1951626.0	11258950.0	16638949.0
T030-B1BALRNA-PBmiRNA_S5.Homo_sapiens	2566954.0	13904202.0	15541865.0
T031-B1BALRNA-PBmiRNA_S6.Homo_sapiens	1914514.0	15442825.0	8397157.0
T031-B2BCGBAL-PBmiRNA_S9.Homo_sapiens	1994651.0	12634151.0	13885591.0
T031-B2PPDBAL-PBmiRNA_S8.Homo_sapiens	2675620.0	20764517.0	13181000.0
T031-B2SalBAL-PBmiRNA_S7.Homo_sapiens	1960829.0	16436125.0	8106030.0
T032-B1BALRNA-PBmiRNA_S23.Homo_sapiens	1909679.0	10578906.0	11771463.0
T032-B2BCGBAL-PBmiRNA1_S28.Homo_sapiens	2015913.0	14394454.0	17369761.0
T032-B2BCGBAL-PLmiRNA2_S29.Homo_sapiens	6735666.0	16299342.0	10128827.0
T032-B2PPDBAL-PBmiRNA1_S25.Homo_sapiens	2161532.0	14327778.0	16879547.0
T032-B2PPDBAL-PLmiRNA2_S26.Homo_sapiens	1771626.0	11963257.0	10084031.0
T032-B2PPDBAL-PLmiRNA3_S27.Homo_sapiens	1855936.0	10216081.0	17924729.0
T032-B2SalBAL-PBmiRNA_S24.Homo_sapiens	2484168.0	14762536.0	14141466.0
T033-B1BALRNA-PBmiRNA1_S15.Homo_sapiens	1614627.0	10099951.0	13812411.0
T033-B1BALRNA-PLmiRNA2_S16.Homo_sapiens	1982481.0	13674763.0	12941173.0
T033-B2BCGBAL-PBmiRNA1_S20.Homo_sapiens	2633623.0	10215405.0	13152454.0
T033-B2BCGBAL-PLmiRNA2_S21.Homo_sapiens	7949525.0	15213061.0	10408352.0
T033-B2PPDBAL-PBmiRNA1_S18.Homo_sapiens	3604996.0	13944390.0	13596486.0
T033-B2PPDBAL-PLmiRNA2_S19.Homo_sapiens	15398789.0	29675164.0	8217136.0
T033-B2SalBAL-PBmiRNA_S17.Homo_sapiens	1687035.0	9298654.0	17578081.0
T034-B-SingleRNABAL-miRNA_S22.Homo_sapiens	2198775.0	13559020.0	11965250.0
T035-B1BALRNA-PBmiRNA_S6.Homo_sapiens	2319255.0	10536715.0	9240291.0
T035-B2BCGBAL-PBmiRNA_S3.Homo_sapiens	15072143.0	27686189.0	8503327.0
T035-B2PPDBAL-PBmiRNA_S2.Homo_sapiens	1226654.0	6052971.0	10890173.0
T035-B2SalBAL-PBmiRNA_S1.Homo_sapiens	1830570.0	13206501.0	7506934.0
T036-B1BALRNA-PBmiRNA_S7.Homo_sapiens	1277788.0	9099426.0	13421250.0
T036-B2S1BAL-PBmiRNA1_S1.Homo_sapiens	1383810.0	9824458.0	14138713.0
T036-B2S2BAL-PBmiRNA2_S8.Homo_sapiens	1307496.0	10140370.0	9421356.0
T036-B2S3BAL-PBmiRNA3_S9.Homo_sapiens	2495298.0	14565766.0	8953749.0
T038-B1BALRNA-PBmiRNA_S25.Homo_sapiens	1610356.0	9176232.0	11443731.0
T038-B2BCGBAL-PLmiRNA_S28.Homo_sapiens	1108981.0	3680411.0	9745405.0
T038-B2PPDBAL-PBmiRNA_S27.Homo_sapiens	2307657.0	13697194.0	8676927.0
T038-B2SalBAL-PBmiRNA_S26.Homo_sapiens	9453375.0	16043127.0	4043163.0
T039-B1BALRNA-PBmiRNA_S10.Homo_sapiens	1674829.0	11028830.0	9930870.0
T039-B2BCGBAL-PBmiRNA1_S14.Homo_sapiens	1400883.0	10660111.0	12911003.0
T039-B2BCGBAL-PLmiRNA2_S15.Homo_sapiens	12559044.0	19243083.0	6388136.0
T039-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens	4337159.0	15431869.0	11759161.0
T039-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens	15325861.0	25507309.0	6575144.0
T039-B2SalBAL-PBmiRNA_S11.Homo_sapiens	2142544.0	17817941.0	11470914.0
T041-B1BALRNA-PBmiRNA_S22.Homo_sapiens	2284616.0	15764755.0	9311575.0
T041-B2BCGBAL-PBmiRNA_S26.Homo_sapiens	1424749.0	8539850.0	9593713.0
T041-B2PPDBAL-PBmiRNA1_S24.Homo_sapiens	5025086.0	11369524.0	9033118.0
T041-B2PPDBAL-PLmiRNA2_S25.Homo_sapiens	13063024.0	25395364.0	6593575.0
T041-B2SalBAL-PBmiRNA_S23.Homo_sapiens	10786445.0	22835648.0	7298996.0
T042-B1BALRNA-PBmiRNA_S6.Homo_sapiens	1696756.0	10458214.0	10579611.0
T042-B2BCGBAL-PBmiRNA_S11.Homo_sapiens	6540412.0	22039750.0	12220702.0
T042-B2PPDBAL-PBmiRNA1_S9.Homo_sapiens	5758939.0	16200982.0	7781979.0
T042-B2PPDBAL-PLmiRNA2_S10.Homo_sapiens	8171302.0	18104937.0	5260505.0
T042-B2SalBAL-PBmiRNA1_S7.Homo_sapiens	5880584.0	19345077.0	10027107.0
T042-B2SalBAL-PLmiRNA2_S8.Homo_sapiens	5370229.0	14665853.0	8414340.0
T045-B1BALRNA-PBmiRNA_S16.Homo_sapiens	1833870.0	13872786.0	8581611.0
T046-B1BALRNA-PBmiRNA_S17.Homo_sapiens	1409711.0	8163905.0	11519382.0
T047-B1BALRNA-PBmiRNA_S18.Homo_sapiens	1491061.0	9058254.0	8814690.0
T047-B2BCGBAL-PBmiRNA_S21.Homo_sapiens	1811031.0	11964780.0	6529718.0
T047-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens	3822442.0	11340564.0	8687758.0
T047-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens	6142528.0	16448262.0	6297270.0
T047-B2SalBAL-PBmiRNA1_S3.Homo_sapiens	1410316.0	6171994.0	10994957.0
T047-B2SalBAL-PLmiRNA2_S4.Homo_sapiens	1990460.0	5846256.0	9336241.0
T048-B1BALRNA-PBmiRNA_S22.Homo_sapiens	1839066.0	11429869.0	11530565.0
T048-B2BCGBAL-PBmiRNA_S24.Homo_sapiens	2918457.0	19190088.0	12895770.0
