Sample	Mapped to too many loci	Mapped to multiple loci	Unmapped: too short	Uniquely mapped	Unmapped: other
T004-B1BALCells-PB-miRNA_S1	412130.0	2498787.0	737686	22083796.0	251956
T004-B2BCGBAL-PB-miRNA_S11	715613.0	3653085.0	980982	44963359.0	503198
T004-B2PPDBAL-PB-miRNA_S10	225879.0	1675476.0	825230	21740622.0	261899
T004-B2SalBAL-PB-miRNA_S9	538846.0	2631936.0	433399	18280171.0	218911
T006-B1BALCells-PBmiRNA_S2	456889.0	3365030.0	727906	20401765.0	274539
T006-B2BCGBAL-PBmiRNA_S13	1015705.0	4208825.0	545373	21974051.0	187384
T006-B2PPDBAL-PLmiRNA_S15	1048183.0	4371112.0	764758	33980378.0	451533
T006-B2SalBAL-PBmiRNA_S12	399289.0	2456552.0	368248	21711370.0	122749
T006-B2TSTBAL-PBmiRNA_S14	929910.0	3869081.0	751458	34135787.0	319769
T007-B1BALCells-PBmiRNA1_S26	657400.0	3563607.0	601056	31096603.0	311390
T007-B1BALCells-PLmiRNA2_S27	919990.0	4162324.0	406249	19882830.0	155856
T007-B2BCGBAL-PBmiRNA1_S2	700321.0	3435250.0	370607	23505348.0	148805
T007-B2BCGBAL-PLmiRNA2_S3	1028006.0	3767294.0	376101	23890468.0	145775
T007-B2PPDBAL-PBmiRNA_S1	664618.0	3116203.0	399675	28332761.0	120227
T007-B2SalBAL-PBmiRNA_S29	762635.0	3747489.0	690703	31512402.0	221616
T009-B1BALCells-PBmiRNA_S25	283493.0	1807455.0	699013	20197229.0	190429
T009-B2BCGBAL-PBmiRNA_S7	694377.0	3898337.0	1059973	23157177.0	188247
T009-B2PPDBAL-PBmiRNA_S28	547292.0	2852562.0	700345	38594634.0	236313
T009-B2SalBAL-PBmiRNA_S6	480543.0	3498582.0	642267	19768839.0	308782
T010-B1BALRNA-PBmiRNA_S9	470430.0	2302660.0	645863	25968219.0	156305
T011-B1BALCells-PBmiRNA_S4	979371.0	5215793.0	782431	20341427.0	326243
T011-B2BCGBAL-PBmiRNA_S22	430236.0	2633281.0	469107	23041089.0	182281
T011-B2BCGBAL-PBmiRNA_S5	368185.0	2670695.0	2594895	19885965.0	299510
T011-B2PPDBAL-PBmiRNA1_S23	834889.0	4187973.0	542364	30137861.0	280162
T011-B2PPDBAL-PLmiRNA2_S24	386676.0	2184351.0	558637	23645037.0	147717
T012-BALRNA-PBmiRNA_S8	436296.0	2750252.0	649862	30986706.0	153731
T013-B1BALCells-PBmiRNA_S4	387932.0	2484017.0	410386	24278285.0	163600
T013-B2BCGBAL-PBmiRNA_S7	475877.0	2693927.0	473979	32783024.0	164070
T013-B2PPDBAL-PBmiRNA_S6	855617.0	4011171.0	758575	39120843.0	487655
T013-B2SalBAL-PBmiRNA_S5	704495.0	3990846.0	340245	20091223.0	118455
T014-B1BALCells-PLmiRNA2_S28	1557702.0	5655380.0	1177914	42692038.0	799114
T014-B1BALRNA-PBmiRNA1_S27	1693744.0	6503233.0	645896	27815146.0	361702
T014-B2BCGBAL-PBmiRNA1_S3	1556831.0	7108774.0	766969	28230813.0	318937
T014-B2BCGBAL-PLmiRNA2_S4	1366548.0	5316133.0	1507962	44722949.0	692267
T014-B2PPDBAL-PBmiRNA1_S1	1838854.0	5356428.0	776084	28790872.0	319346
T014-B2PPDBAL-PLmiRNA2_S2	1819574.0	5622843.0	1470581	45096362.0	677889
T014-B2SalBAL-PBmiRNA_S29	1344971.0	4814495.0	794945	34108350.0	491118
T015-B1BALCells-PBmiRNA_S18	460069.0	3690714.0	570011	34947299.0	203290
T015-B2BCGBAL-PBmiRNA_S22	653913.0	3091231.0	569043	30967343.0	252513
T015-B2PPDBAL-PBmiRNA_S21	2893968.0	7215808.0	910389	38893394.0	642330
T015-B2SalBAL-PBmiRNA1_S19	405156.0	2314617.0	322272	17959997.0	88467
T015-B2SalBAL-PLmiRNA2_S20	2384062.0	7155576.0	996032	28750333.0	308295
T016-B1BALCells-PBmiRNA_S16	705144.0	3495378.0	1884540	25335451.0	352755
T016-B2BCGBAL-PBmiRNA1_S17	732040.0	3826667.0	832449	24653507.0	190706
T016-B2BCGBAL-PBmiRNA2_S18	293549.0	2074109.0	331335	23669665.0	106027
T016-B2PPDBAL-PBmiRNA_S19	679586.0	3450349.0	971232	29258204.0	231575
T021-B1BALCells-PLmiRNA_S3	291692.0	1994324.0	3783182	15919173.0	128318
