Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
T004-B1BALCells-PB-miRNA_S1_R1_001	pass	0.0	warn	78.1486401336	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	25984355.0	pass	warn	warn	46.0	66.5728528234	T004-B1BALCells-PB-miRNA_S1_R1_001.merged.trimmed.fq.gz	pass	pass
T004-B2BCGBAL-PB-miRNA_S11_R1_001	pass	0.0	pass	75.6435077237	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	50816237.0	pass	warn	warn	44.0	82.7786430792	T004-B2BCGBAL-PB-miRNA_S11_R1_001.merged.trimmed.fq.gz	pass	pass
T004-B2PPDBAL-PB-miRNA_S10_R1_001	pass	0.0	pass	78.7863761027	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	24729106.0	pass	warn	warn	43.0	86.5297802006	T004-B2PPDBAL-PB-miRNA_S10_R1_001.merged.trimmed.fq.gz	pass	pass
T004-B2SalBAL-PB-miRNA_S9_R1_001	pass	0.0	warn	78.0961628154	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	22103263.0	pass	warn	warn	46.0	60.6044742809	T004-B2SalBAL-PB-miRNA_S9_R1_001.merged.trimmed.fq.gz	pass	pass
T006-B1BALCells-PBmiRNA_S2_R1_001	pass	0.0	warn	79.3430973892	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25226129.0	pass	warn	warn	46.0	53.5112820097	T006-B1BALCells-PBmiRNA_S2_R1_001.merged.trimmed.fq.gz	pass	pass
T006-B2BCGBAL-PBmiRNA_S13_R1_001	pass	0.0	warn	78.3233737675	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	27931338.0	pass	warn	warn	47.0	51.1827524327	T006-B2BCGBAL-PBmiRNA_S13_R1_001.merged.trimmed.fq.gz	pass	pass
T006-B2PPDBAL-PLmiRNA_S15_R1_001	pass	0.0	warn	73.8534169471	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	40615964.0	pass	warn	warn	45.0	67.2914735439	T006-B2PPDBAL-PLmiRNA_S15_R1_001.merged.trimmed.fq.gz	pass	pass
T006-B2SalBAL-PBmiRNA_S12_R1_001	pass	0.0	warn	80.3906847609	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	25058208.0	pass	warn	warn	44.0	64.0801523103	T006-B2SalBAL-PBmiRNA_S12_R1_001.merged.trimmed.fq.gz	pass	pass
T006-B2TSTBAL-PBmiRNA_S14_R1_001	pass	0.0	pass	75.2034937255	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	40006005.0	pass	warn	warn	44.0	71.9841745724	T006-B2TSTBAL-PBmiRNA_S14_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B1BALCells-PBmiRNA1_S26_R1_001	pass	0.0	warn	75.2429110791	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	36230056.0	pass	warn	warn	46.0	69.1994535612	T007-B1BALCells-PBmiRNA1_S26_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B1BALCells-PLmiRNA2_S27_R1_001	pass	0.0	fail	78.2197023267	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25527249.0	pass	warn	fail	48.0	44.9064285824	T007-B1BALCells-PLmiRNA2_S27_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B2BCGBAL-PBmiRNA1_S2_R1_001	pass	0.0	warn	79.6050223984	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	28160331.0	pass	warn	warn	46.0	58.2408652947	T007-B2BCGBAL-PBmiRNA1_S2_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B2BCGBAL-PLmiRNA2_S3_R1_001	pass	0.0	warn	79.5160143009	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29207644.0	pass	warn	warn	47.0	52.9671424896	T007-B2BCGBAL-PLmiRNA2_S3_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B2PPDBAL-PBmiRNA_S1_R1_001	pass	0.0	warn	80.2559521993	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	32633484.0	pass	warn	warn	45.0	61.2290738514	T007-B2PPDBAL-PBmiRNA_S1_R1_001.merged.trimmed.fq.gz	pass	pass
T007-B2SalBAL-PBmiRNA_S29_R1_001	pass	0.0	warn	77.9301646453	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	36934845.0	pass	warn	warn	45.0	64.991266815	T007-B2SalBAL-PBmiRNA_S29_R1_001.merged.trimmed.fq.gz	pass	pass
T009-B1BALCells-PBmiRNA_S25_R1_001	pass	0.0	warn	78.1130094511	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	23177619.0	pass	warn	warn	44.0	63.3861936664	T009-B1BALCells-PBmiRNA_S25_R1_001.merged.trimmed.fq.gz	pass	pass
T009-B2BCGBAL-PBmiRNA_S7_R1_001	pass	0.0	warn	77.1607687825	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	28998111.0	pass	warn	warn	48.0	50.5283469402	T009-B2BCGBAL-PBmiRNA_S7_R1_001.merged.trimmed.fq.gz	pass	pass
T009-B2PPDBAL-PBmiRNA_S28_R1_001	pass	0.0	warn	77.7352552853	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	42931146.0	pass	warn	warn	44.0	58.6279883785	T009-B2PPDBAL-PBmiRNA_S28_R1_001.merged.trimmed.fq.gz	pass	pass
T009-B2SalBAL-PBmiRNA_S6_R1_001	pass	0.0	fail	78.6075453298	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	24699013.0	pass	warn	warn	47.0	46.6873948364	T009-B2SalBAL-PBmiRNA_S6_R1_001.merged.trimmed.fq.gz	pass	pass
T010-B1BALRNA-PBmiRNA_S9_R1_001	pass	0.0	warn	79.5473173317	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29543477.0	pass	warn	warn	44.0	66.4398260977	T010-B1BALRNA-PBmiRNA_S9_R1_001.merged.trimmed.fq.gz	pass	pass
T011-B1BALCells-PBmiRNA_S4_R1_001	pass	0.0	fail	78.3481972048	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	27645265.0	pass	warn	warn	47.0	49.1299838851	T011-B1BALCells-PBmiRNA_S4_R1_001.merged.trimmed.fq.gz	pass	pass
T011-B2BCGBAL-PBmiRNA_S22_R1_001	pass	0.0	warn	78.8002645688	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	26755994.0	pass	warn	warn	44.0	63.3790549436	T011-B2BCGBAL-PBmiRNA_S22_R1_001.merged.trimmed.fq.gz	pass	pass
T011-B2BCGBAL-PBmiRNA_S5_R1_001	pass	0.0	warn	77.8358551081	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25819250.0	pass	warn	warn	44.0	64.0012375952	T011-B2BCGBAL-PBmiRNA_S5_R1_001.merged.trimmed.fq.gz	pass	pass
T011-B2PPDBAL-PBmiRNA1_S23_R1_001	pass	0.0	warn	78.2184543147	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	35983249.0	pass	warn	warn	46.0	61.5682364061	T011-B2PPDBAL-PBmiRNA1_S23_R1_001.merged.trimmed.fq.gz	pass	pass
T011-B2PPDBAL-PLmiRNA2_S24_R1_001	pass	0.0	pass	79.6163829712	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	26922418.0	pass	warn	warn	43.0	72.3684583588	T011-B2PPDBAL-PLmiRNA2_S24_R1_001.merged.trimmed.fq.gz	pass	pass
T012-BALRNA-PBmiRNA_S8_R1_001	pass	0.0	warn	79.8448604587	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	34976847.0	pass	warn	warn	44.0	68.124611368	T012-BALRNA-PBmiRNA_S8_R1_001.merged.trimmed.fq.gz	pass	pass
T013-B1BALCells-PBmiRNA_S4_R1_001	pass	0.0	warn	79.7939111001	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	27724220.0	pass	warn	warn	44.0	67.6973251797	T013-B1BALCells-PBmiRNA_S4_R1_001.merged.trimmed.fq.gz	pass	pass
T013-B2BCGBAL-PBmiRNA_S7_R1_001	pass	0.0	warn	79.6556549874	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	36590877.0	pass	warn	warn	45.0	66.6034336567	T013-B2BCGBAL-PBmiRNA_S7_R1_001.merged.trimmed.fq.gz	pass	pass
T013-B2PPDBAL-PBmiRNA_S6_R1_001	pass	0.0	pass	75.2678359692	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	45233861.0	pass	warn	warn	43.0	78.7180762626	T013-B2PPDBAL-PBmiRNA_S6_R1_001.merged.trimmed.fq.gz	pass	pass
T013-B2SalBAL-PBmiRNA_S5_R1_001	pass	0.0	warn	80.3985623601	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25245264.0	pass	warn	warn	47.0	57.4638419109	T013-B2SalBAL-PBmiRNA_S5_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B1BALCells-PLmiRNA2_S28_R1_001	pass	0.0	pass	69.8700415025	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	51882148.0	pass	warn	warn	43.0	73.9173699241	T014-B1BALCells-PLmiRNA2_S28_R1_001.merged.trimmed.fq.gz	pass	pass
