Sample	ambiguous	percent_assigned	too_low_aQual	total_count	no_feature	alignment_not_unique	assigned	not_aligned
T004-B1BALCells-PB-miRNA_S1.Homo_sapiens.HTSeq	506013	26.7239404682	0	30629944	13392255	8546148	8185528	0
T004-B2BCGBAL-PB-miRNA_S11.Homo_sapiens.HTSeq	539469	15.0315529942	0	57871053	35724972	12907694	8698918	0
T004-B2PPDBAL-PB-miRNA_S10.Homo_sapiens.HTSeq	120570	10.8293614352	0	27617778	18629223	5877156	2990829	0
T004-B2SalBAL-PB-miRNA_S9.Homo_sapiens.HTSeq	605219	33.6194381765	0	27362114	8475963	9081943	9198989	0
T006-B1BALCells-PBmiRNA_S2.Homo_sapiens.HTSeq	669683	32.6053101431	0	31538510	9448853	11136745	10283229	0
T006-B2BCGBAL-PBmiRNA_S13.Homo_sapiens.HTSeq	1247678	37.3835425365	0	36364887	7131890	14390836	13594483	0
T006-B2PPDBAL-PLmiRNA_S15.Homo_sapiens.HTSeq	894120	24.4032083294	0	49715967	20953967	15735589	12132291	0
T006-B2SalBAL-PBmiRNA_S12.Homo_sapiens.HTSeq	531770	29.8237219307	0	29918526	12256782	8207156	8922818	0
T006-B2TSTBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	934590	22.3756985469	0	47669314	22534855	13533527	10666342	0
T007-B1BALCells-PBmiRNA1_S26.Homo_sapiens.HTSeq	867584	26.6652159392	0	43509207	18627195	12412604	11601824	0
T007-B1BALCells-PLmiRNA2_S27.Homo_sapiens.HTSeq	1387660	39.4503648563	0	34331320	4951339	14448490	13543831	0
T007-B2BCGBAL-PBmiRNA1_S2.Homo_sapiens.HTSeq	886400	35.4905780586	0	35187122	10130835	11681774	12488113	0
T007-B2BCGBAL-PLmiRNA2_S3.Homo_sapiens.HTSeq	1189979	37.8525906485	0	36388302	8926574	12497834	13773915	0
T007-B2PPDBAL-PBmiRNA_S1.Homo_sapiens.HTSeq	1024843	34.5928368001	0	38657165	13935308	10324404	13372610	0
T007-B2SalBAL-PBmiRNA_S29.Homo_sapiens.HTSeq	912569	27.7072006059	0	44895694	18160493	13383292	12439340	0
T009-B1BALCells-PBmiRNA_S25.Homo_sapiens.HTSeq	270744	24.5185636103	0	26402138	13453060	6204909	6473425	0
T009-B2BCGBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	662721	29.6344973618	0	35665707	11925103	12508530	10569353	0
T009-B2PPDBAL-PBmiRNA_S28.Homo_sapiens.HTSeq	783560	28.0611731521	0	48528217	24193487	9933583	13617587	0
T009-B2SalBAL-PBmiRNA_S6.Homo_sapiens.HTSeq	669692	27.6973934602	0	31303646	10428853	11534807	8670294	0
T010-B1BALRNA-PBmiRNA_S9.Homo_sapiens.HTSeq	493489	26.7229875634	0	33923939	16409240	7955720	9065490	0
T011-B1BALCells-PBmiRNA_S4.Homo_sapiens.HTSeq	992671	28.9707834914	0	38106812	8308914	17765385	11039842	0
T011-B2BCGBAL-PBmiRNA_S22.Homo_sapiens.HTSeq	607808	32.3860699808	0	31797458	12135334	8756369	10297947	0
T011-B2BCGBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	370791	27.0537433978	0	29040702	11658577	9154737	7856597	0
T011-B2PPDBAL-PBmiRNA1_S23.Homo_sapiens.HTSeq	1216921	31.5636492334	0	44445390	14892353	14307529	14028587	0
T011-B2PPDBAL-PLmiRNA2_S24.Homo_sapiens.HTSeq	389038	22.238063932	0	31001143	16361945	7356106	6894054	0
T012-BALRNA-PBmiRNA_S8.Homo_sapiens.HTSeq	665963	28.6730275077	0	40202755	18793396	9216049	11527347	0
T013-B1BALCells-PBmiRNA_S4.Homo_sapiens.HTSeq	500056	25.5620981349	0	32678413	15424941	8400128	8353288	0
T013-B2BCGBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	675992	28.3685722015	0	41871568	20228666	9088544	11878366	0
T013-B2PPDBAL-PBmiRNA_S6.Homo_sapiens.HTSeq	696051	15.0448620428	0	53098340	30436220	13977497	7988572	0
T013-B2SalBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	867587	28.4507784622	0	33915072	9574534	13823849	9649102	0
T014-B1BALCells-PLmiRNA2_S28.Homo_sapiens.HTSeq	739094	20.6710913409	0	63137605	28901712	20445567	13051232	0
T014-B1BALRNA-PBmiRNA1_S27.Homo_sapiens.HTSeq	1344561	32.9877462578	0	52027698	9307820	24212552	17162765	0
T014-B2BCGBAL-PBmiRNA1_S3.Homo_sapiens.HTSeq	1142220	26.3525718336	0	55328152	12508202	27097339	14580391	0
T014-B2BCGBAL-PLmiRNA2_S4.Homo_sapiens.HTSeq	638449	18.0670438209	0	64339203	32460308	19616254	11624192	0
T014-B2PPDBAL-PBmiRNA1_S1.Homo_sapiens.HTSeq	1264336	32.0710520175	0	48995259	11813241	20204387	15713295	0
T014-B2PPDBAL-PLmiRNA2_S2.Homo_sapiens.HTSeq	924150	19.1943993953	0	66110576	31482684	21014214	12689528	0
T014-B2SalBAL-PBmiRNA_S29.Homo_sapiens.HTSeq	725340	21.1815490048	0	52197141	22326847	18088791	11056163	0
T015-B1BALCells-PBmiRNA_S18.Homo_sapiens.HTSeq	834269	27.8948196544	0	47901611	20750962	12954312	13362068	0
T015-B2BCGBAL-PBmiRNA_S22.Homo_sapiens.HTSeq	543817	25.2321059842	0	42258066	19760926	11290723	10662600	0
T015-B2PPDBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	1364217	24.1524416396	0	67252596	21286033	28359202	16243144	0
T015-B2SalBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	650759	40.5693363329	0	25481388	6971608	7521391	10337630	0
T015-B2SalBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	1804187	34.0175964562	0	54906851	8268155	26156518	18677991	0
T016-B1BALCells-PBmiRNA_S16.Homo_sapiens.HTSeq	782206	29.5282413637	0	37375426	13516939	12039975	11036306	0
T016-B2BCGBAL-PBmiRNA1_S17.Homo_sapiens.HTSeq	923271	32.8188682877	0	37539771	11410108	12886264	12320128	0
T016-B2BCGBAL-PBmiRNA2_S18.Homo_sapiens.HTSeq	494483	31.2835404369	0	30267383	13706473	6597718	9468709	0
T016-B2PPDBAL-PBmiRNA_S19.Homo_sapiens.HTSeq	852856	29.5983194339	0	41042837	16257358	11784633	12147990	0
T021-B1BALCells-PLmiRNA_S3.Homo_sapiens.HTSeq	364384	27.9011694736	0	22702095	9220639	6782922	6334150	0
T021-B2Sal2BAL-PLmiRNA_S20.Homo_sapiens.HTSeq	589576	34.0269297942	0	25459088	6706230	9500336	8662946	0
T021-B2Sal3BAL-PLmiRNA_S21.Homo_sapiens.HTSeq	1024901	35.6732564339	0	29728769	3754901	14343747	10605220	0
T023-B1BALCells-PBmiRNA_S10.Homo_sapiens.HTSeq	723791	28.2172164371	0	41238242	18654668	10223499	11636284	0
T023-B2BCGBAL-PBmiRNA_S12.Homo_sapiens.HTSeq	627222	36.2916040663	0	27379385	7534611	9281134	9936418	0
T023-B2PPDBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	402328	33.0484409048	0	24804450	10896438	5308200	8197484	0
T023-B2SalBAL-PBmiRNA_S8.Homo_sapiens.HTSeq	789128	34.2055888999	0	32459447	8654789	11912585	11102945	0
