Sample	with mate mapped to a different chr (mapQ >= 5)_failed	total_failed	duplicates_failed	with mate mapped to a different chr_passed	supplementary_passed	read2_failed	supplementary_failed	with itself and mate mapped_failed	paired in sequencing_failed	with mate mapped to a different chr_failed	total_passed	flagstat_total	paired in sequencing_passed	with itself and mate mapped_passed	duplicates_passed	read2_passed	secondary_failed	secondary_passed	with mate mapped to a different chr (mapQ >= 5)_passed	read1_failed	read1_passed
T004-B1BALCells-PB-miRNA_S1.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30629944.0	30629944.0	0.0	0.0	0.0	0.0	0.0	6047361.0	0.0	0.0	0.0
T004-B2BCGBAL-PB-miRNA_S11.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57871053.0	57871053.0	0.0	0.0	0.0	0.0	0.0	9254609.0	0.0	0.0	0.0
T004-B2PPDBAL-PB-miRNA_S10.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27617778.0	27617778.0	0.0	0.0	0.0	0.0	0.0	4201680.0	0.0	0.0	0.0
T004-B2SalBAL-PB-miRNA_S9.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27362114.0	27362114.0	0.0	0.0	0.0	0.0	0.0	6450007.0	0.0	0.0	0.0
T006-B1BALCells-PBmiRNA_S2.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31538510.0	31538510.0	0.0	0.0	0.0	0.0	0.0	7771715.0	0.0	0.0	0.0
T006-B2BCGBAL-PBmiRNA_S13.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36364887.0	36364887.0	0.0	0.0	0.0	0.0	0.0	10182011.0	0.0	0.0	0.0
T006-B2PPDBAL-PLmiRNA_S15.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49715967.0	49715967.0	0.0	0.0	0.0	0.0	0.0	11364477.0	0.0	0.0	0.0
T006-B2SalBAL-PBmiRNA_S12.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29918526.0	29918526.0	0.0	0.0	0.0	0.0	0.0	5750604.0	0.0	0.0	0.0
T006-B2TSTBAL-PBmiRNA_S14.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47669314.0	47669314.0	0.0	0.0	0.0	0.0	0.0	9664446.0	0.0	0.0	0.0
T007-B1BALCells-PBmiRNA1_S26.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43509207.0	43509207.0	0.0	0.0	0.0	0.0	0.0	8848997.0	0.0	0.0	0.0
T007-B1BALCells-PLmiRNA2_S27.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34331320.0	34331320.0	0.0	0.0	0.0	0.0	0.0	10286166.0	0.0	0.0	0.0
T007-B2BCGBAL-PBmiRNA1_S2.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35187122.0	35187122.0	0.0	0.0	0.0	0.0	0.0	8246524.0	0.0	0.0	0.0
T007-B2BCGBAL-PLmiRNA2_S3.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36388302.0	36388302.0	0.0	0.0	0.0	0.0	0.0	8730540.0	0.0	0.0	0.0
T007-B2PPDBAL-PBmiRNA_S1.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38657165.0	38657165.0	0.0	0.0	0.0	0.0	0.0	7208201.0	0.0	0.0	0.0
T007-B2SalBAL-PBmiRNA_S29.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44895694.0	44895694.0	0.0	0.0	0.0	0.0	0.0	9635803.0	0.0	0.0	0.0
T009-B1BALCells-PBmiRNA_S25.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26402138.0	26402138.0	0.0	0.0	0.0	0.0	0.0	4397454.0	0.0	0.0	0.0
T009-B2BCGBAL-PBmiRNA_S7.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35665707.0	35665707.0	0.0	0.0	0.0	0.0	0.0	8610193.0	0.0	0.0	0.0
T009-B2PPDBAL-PBmiRNA_S28.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48528217.0	48528217.0	0.0	0.0	0.0	0.0	0.0	7081021.0	0.0	0.0	0.0
T009-B2SalBAL-PBmiRNA_S6.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31303646.0	31303646.0	0.0	0.0	0.0	0.0	0.0	8036225.0	0.0	0.0	0.0
T010-B1BALRNA-PBmiRNA_S9.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33923939.0	33923939.0	0.0	0.0	0.0	0.0	0.0	5653060.0	0.0	0.0	0.0
T011-B1BALCells-PBmiRNA_S4.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38106812.0	38106812.0	0.0	0.0	0.0	0.0	0.0	12549592.0	0.0	0.0	0.0
T011-B2BCGBAL-PBmiRNA_S22.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31797458.0	31797458.0	0.0	0.0	0.0	0.0	0.0	6123088.0	0.0	0.0	0.0
T011-B2BCGBAL-PBmiRNA_S5.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29040702.0	29040702.0	0.0	0.0	0.0	0.0	0.0	6484042.0	0.0	0.0	0.0
T011-B2PPDBAL-PBmiRNA1_S23.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44445390.0	44445390.0	0.0	0.0	0.0	0.0	0.0	10119556.0	0.0	0.0	0.0
