Module	Section	Sample Name	Source
FastQC	all_sections	T023-B2PPDBAL-PBmiRNA_S11_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T023-B2PPDBAL-PBmiRNA_S11/T023-B2PPDBAL-PBmiRNA_S11_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T006-B2SalBAL-PBmiRNA_S12_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T006-B2SalBAL-PBmiRNA_S12/T006-B2SalBAL-PBmiRNA_S12_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T047-B2PPDBAL-PBmiRNA1_S19_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T047-B2PPDBAL-PBmiRNA1_S19/T047-B2PPDBAL-PBmiRNA1_S19_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T033-B2BCGBAL-PLmiRNA2_S21_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T033-B2BCGBAL-PLmiRNA2_S21/T033-B2BCGBAL-PLmiRNA2_S21_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T051-B2PPDBAL-PLmiRNA2_S15_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T051-B2PPDBAL-PLmiRNA2_S15/T051-B2PPDBAL-PLmiRNA2_S15_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T011-B2BCGBAL-PBmiRNA_S22_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T011-B2BCGBAL-PBmiRNA_S22/T011-B2BCGBAL-PBmiRNA_S22_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T009-B2BCGBAL-PBmiRNA_S7_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T009-B2BCGBAL-PBmiRNA_S7/T009-B2BCGBAL-PBmiRNA_S7_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T010-B1BALRNA-PBmiRNA_S9_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T010-B1BALRNA-PBmiRNA_S9/T010-B1BALRNA-PBmiRNA_S9_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T007-B2PPDBAL-PBmiRNA_S1_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T007-B2PPDBAL-PBmiRNA_S1/T007-B2PPDBAL-PBmiRNA_S1_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T033-B2SalBAL-PBmiRNA_S17_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T033-B2SalBAL-PBmiRNA_S17/T033-B2SalBAL-PBmiRNA_S17_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T014-B1BALRNA-PBmiRNA1_S27_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T014-B1BALRNA-PBmiRNA1_S27/T014-B1BALRNA-PBmiRNA1_S27_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T004-B2PPDBAL-PB-miRNA_S10_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T004-B2PPDBAL-PB-miRNA_S10/T004-B2PPDBAL-PB-miRNA_S10_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T006-B2TSTBAL-PBmiRNA_S14_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T006-B2TSTBAL-PBmiRNA_S14/T006-B2TSTBAL-PBmiRNA_S14_R1_001.merged.trimmed_fastqc.zip
FastQC	all_sections	T051-B2PPDBAL-PBmiRNA1_S14_R1_001	/nfs/users/bi/jlimberis/TB_HEART/multiqc_report/delete/T051-B2PPDBAL-PBmiRNA1_S14/T051-B2PPDBAL-PBmiRNA1_S14_R1_001.merged.trimmed_fastqc.zip
