Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
T004-B1BALCells-PB-miRNA_S1	84.99	2284829.0	16374.0	1.52	1.52	2.84	80.0	0.01	0.54	79.0	1823.0	2241556.0	2265092.0	22083796.0	412130.0	0	0.0	25984355.0	251956	0.01	0.97	9.62	2498787.0	1540.0	737686	1.59
T004-B2BCGBAL-PB-miRNA_S11	88.48	2233803.0	16062.0	1.57	1.49	1.93	76.35	0.01	0.59	76.0	1910.0	2182711.0	2214253.0	44963359.0	715613.0	0	0.0	50816237.0	503198	0.01	0.99	7.19	3653085.0	1578.0	980982	1.41
T004-B2PPDBAL-PB-miRNA_S10	87.92	720510.0	5684.0	1.55	1.48	3.34	79.96	0.02	0.61	79.0	689.0	694071.0	713317.0	21740622.0	225879.0	0	0.0	24729106.0	261899	0.01	1.06	6.78	1675476.0	820.0	825230	0.91
T004-B2SalBAL-PB-miRNA_S9	82.7	2976090.0	19300.0	1.51	1.49	1.96	80.46	0.01	0.48	79.0	2421.0	2938036.0	2952864.0	18280171.0	538846.0	0	0.0	22103263.0	218911	0.01	0.99	11.91	2631936.0	1505.0	433399	2.44
T006-B1BALCells-PBmiRNA_S2	80.88	3424648.0	22225.0	1.48	1.47	2.89	81.86	0.01	0.48	80.0	2551.0	3379888.0	3398243.0	20401765.0	456889.0	0	0.0	25226129.0	274539	0.01	1.09	13.34	3365030.0	1629.0	727906	1.81
T006-B2BCGBAL-PBmiRNA_S13	78.67	4581386.0	27912.0	1.47	1.47	1.95	80.08	0.01	0.49	79.0	3172.0	4537468.0	4548405.0	21974051.0	1015705.0	0	0.0	27931338.0	187384	0.01	0.67	15.07	4208825.0	1897.0	545373	3.64
T006-B2PPDBAL-PLmiRNA_S15	83.66	3474841.0	23813.0	1.52	1.51	1.88	75.5	0.01	0.58	74.0	2507.0	3406877.0	3446390.0	33980378.0	1048183.0	0	0.0	40615964.0	451533	0.01	1.11	10.76	4371112.0	2131.0	764758	2.58
T006-B2SalBAL-PBmiRNA_S12	86.64	2703495.0	17440.0	1.5	1.48	1.47	81.55	0.01	0.47	81.0	1964.0	2669276.0	2682900.0	21711370.0	399289.0	0	0.0	25058208.0	122749	0.01	0.49	9.8	2456552.0	1191.0	368248	1.59
T006-B2TSTBAL-PBmiRNA_S14	85.33	3103518.0	21186.0	1.53	1.5	1.88	76.2	0.01	0.56	76.0	2245.0	3052753.0	3078384.0	34135787.0	929910.0	0	0.0	40006005.0	319769	0.01	0.8	9.67	3869081.0	1703.0	751458	2.32
T007-B1BALCells-PBmiRNA1_S26	85.83	3524154.0	23895.0	1.52	1.5	1.66	76.42	0.01	0.54	76.0	2729.0	3474382.0	3495735.0	31096603.0	657400.0	0	0.0	36230056.0	311390	0.01	0.86	9.84	3563607.0	1795.0	601056	1.81
