Sample	Top over-represented sequence	Sum of remaining over-represented sequences
T004-B1BALCells-PB-miRNA_S1_R1_001	0.302351164768	1.70509139057
T004-B2BCGBAL-PB-miRNA_S11_R1_001	0.137322249973	0.235174832013
T004-B2PPDBAL-PB-miRNA_S10_R1_001	0.210779961071	0.130405037691
T004-B2SalBAL-PB-miRNA_S9_R1_001	0.417698509039	3.0031945962
T006-B1BALCells-PBmiRNA_S2_R1_001	0.552090255306	3.48717791779
T006-B2BCGBAL-PBmiRNA_S13_R1_001	0.903504873272	5.02707389098
T006-B2PPDBAL-PLmiRNA_S15_R1_001	0.421740574716	1.83481549275
T006-B2SalBAL-PBmiRNA_S12_R1_001	0.340938186801	1.79539574418
T006-B2TSTBAL-PBmiRNA_S14_R1_001	0.459341041426	1.34553050223
T007-B1BALCells-PBmiRNA1_S26_R1_001	0.463267293873	1.55581597776
T007-B1BALCells-PLmiRNA2_S27_R1_001	1.13860291017	6.12224999255
T007-B2BCGBAL-PBmiRNA1_S2_R1_001	0.643405079294	3.41674250917
T007-B2BCGBAL-PLmiRNA2_S3_R1_001	0.936939658673	5.0001978934
T007-B2PPDBAL-PBmiRNA_S1_R1_001	0.702413508775	2.33206482029
T007-B2SalBAL-PBmiRNA_S29_R1_001	0.421867209677	1.9092593999
T009-B1BALCells-PBmiRNA_S25_R1_001	0.242203480867	0.917855280993
T009-B2BCGBAL-PBmiRNA_S7_R1_001	0.824781310755	3.79933368763
T009-B2PPDBAL-PBmiRNA_S28_R1_001	0.45174195909	0.593454924311
T009-B2SalBAL-PBmiRNA_S6_R1_001	0.849118950624	4.51107094846
T010-B1BALRNA-PBmiRNA_S9_R1_001	0.31602915256	0.929843159625
T011-B1BALCells-PBmiRNA_S4_R1_001	0.966038849691	6.94764184753
T011-B2BCGBAL-PBmiRNA_S22_R1_001	0.363611981674	1.9297545066
T011-B2BCGBAL-PBmiRNA_S5_R1_001	0.381180708193	1.36489634672
T011-B2PPDBAL-PBmiRNA1_S23_R1_001	0.620572088974	2.67362460794
T011-B2PPDBAL-PLmiRNA2_S24_R1_001	0.269162301841	0.928664728406
T012-BALRNA-PBmiRNA_S8_R1_001	0.281560542035	0.903563434406
T013-B1BALCells-PBmiRNA_S4_R1_001	0.314061134993	1.37734082329
T013-B2BCGBAL-PBmiRNA_S7_R1_001	0.293865599341	0.864663615469
T013-B2PPDBAL-PBmiRNA_S6_R1_001	0.35058691983	1.05834211234
T013-B2SalBAL-PBmiRNA_S5_R1_001	0.774739372898	6.18529875544
T014-B1BALCells-PLmiRNA2_S28_R1_001	0.236555356189	0.963314009281
T014-B1BALRNA-PBmiRNA1_S27_R1_001	0.662009311199	4.522262607
T014-B2BCGBAL-PBmiRNA1_S3_R1_001	0.343478192646	4.21221197523
T014-B2BCGBAL-PLmiRNA2_S4_R1_001	0.216705789567	0.370127451926
T014-B2PPDBAL-PBmiRNA1_S1_R1_001	0.673868192901	4.25140145038
T014-B2PPDBAL-PLmiRNA2_S2_R1_001	0.308216271767	0.549729608816
T014-B2SalBAL-PBmiRNA_S29_R1_001	0.254236192968	1.50743087065
T015-B1BALCells-PBmiRNA_S18_R1_001	0.38076933524	1.65850780747
T015-B2BCGBAL-PBmiRNA_S22_R1_001	0.155982813439	0.483190162178
T015-B2PPDBAL-PBmiRNA_S21_R1_001	0.56269409089	3.85396447088
T015-B2SalBAL-PBmiRNA1_S19_R1_001	0.438130725057	2.94002861666
T015-B2SalBAL-PLmiRNA2_S20_R1_001	1.18959805778	6.76611819207
T016-B1BALCells-PBmiRNA_S16_R1_001	0.391511505836	2.31252258974
T016-B2BCGBAL-PBmiRNA1_S17_R1_001	0.503436885457	3.24451803449
T016-B2BCGBAL-PBmiRNA2_S18_R1_001	0.291036512805	1.13366410214
T016-B2PPDBAL-PBmiRNA_S19_R1_001	0.35598043488	1.93966941523
T021-B1BALCells-PLmiRNA_S3_R1_001	0.327318433605	1.61361404503
T021-B2Sal2BAL-PLmiRNA_S20_R1_001	0.841397267547	4.36885141694
T021-B2Sal3BAL-PLmiRNA_S21_R1_001	0.885280135921	8.49598929199
T023-B1BALCells-PBmiRNA_S10_R1_001	0.428150075073	1.28204315525
T023-B2BCGBAL-PBmiRNA_S12_R1_001	0.897574033462	3.79106061376
T023-B2PPDBAL-PBmiRNA_S11_R1_001	0.310609182161	1.05654333538
T023-B2SalBAL-PBmiRNA_S8_R1_001	0.831577200723	4.46530760422
T025-B1BALRNA-PBmiRNA_S10_R1_001	0.256315307577	1.51644488213
T025-B2BCGBAL-PBmiRNA_S14_R1_001	0.662901354552	3.23858155347
T025-B2PPDBAL-PBmiRNA1_S12_R1_001	0.735218434012	2.65268367275
T025-B2PPDBAL-PLmiRNA2_S13_R1_001	0.269803640488	0.262350381515
T025-B2SalBAL-PBmiRNA_S11_R1_001	0.726289027351	3.65238951478
T026-B1BALCells-PBmiRNA_S13_R1_001	0.589385677938	2.51703145381
T026-B2BCGBAL-PBmiRNA_S17_R1_001	0.855046048366	2.20217308787
T026-B2PPDBAL-PBmiRNA1_S15_R1_001	0.716978556461	2.89161114162
T026-B2PPDBAL-PLmiRNA2_S16_R1_001	0.303721054992	0.757778353942
T026-B2SalBAL-PBmiRNA_S14_R1_001	0.293044637639	1.29577923615
T028-B1BAL-PBmiRNA_S23_R1_001	0.276038258588	1.76005969759
T028-B2BCGBAL-PBmiRNA_S26_R1_001	0.156106057018	0.460874078479
T028-B2PPDBAL-PBmiRNA_S25_R1_001	0.343818293356	1.12216840033
T028-B2SalBAL-PBmiRNA_S24_R1_001	0.295671379129	1.9583397658
T030-B1BALRNA-PBmiRNA_S5_R1_001	0.335185084135	2.60850511782
T031-B1BALRNA-PBmiRNA_S6_R1_001	0.235883370871	0.986894563035
T031-B2BCGBAL-PBmiRNA_S9_R1_001	0.402048593301	3.16891792935
T031-B2PPDBAL-PBmiRNA_S8_R1_001	0.256377525343	0.826167161582
T031-B2SalBAL-PBmiRNA_S7_R1_001	0.235590042637	0.623349345693
T032-B1BALRNA-PBmiRNA_S23_R1_001	0.49102706856	3.96351082004
