Sample	Ambiguous	Too Low aQual	Not Aligned	No Feature	Assigned	Alignment Not Unique
T004-B1BALCells-PB-miRNA_S1.Homo_sapiens.HTSeq	506013	0	0	13392255	8185528	8546148
T004-B2BCGBAL-PB-miRNA_S11.Homo_sapiens.HTSeq	539469	0	0	35724972	8698918	12907694
T004-B2PPDBAL-PB-miRNA_S10.Homo_sapiens.HTSeq	120570	0	0	18629223	2990829	5877156
T004-B2SalBAL-PB-miRNA_S9.Homo_sapiens.HTSeq	605219	0	0	8475963	9198989	9081943
T006-B1BALCells-PBmiRNA_S2.Homo_sapiens.HTSeq	669683	0	0	9448853	10283229	11136745
T006-B2BCGBAL-PBmiRNA_S13.Homo_sapiens.HTSeq	1247678	0	0	7131890	13594483	14390836
T006-B2PPDBAL-PLmiRNA_S15.Homo_sapiens.HTSeq	894120	0	0	20953967	12132291	15735589
T006-B2SalBAL-PBmiRNA_S12.Homo_sapiens.HTSeq	531770	0	0	12256782	8922818	8207156
T006-B2TSTBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	934590	0	0	22534855	10666342	13533527
T007-B1BALCells-PBmiRNA1_S26.Homo_sapiens.HTSeq	867584	0	0	18627195	11601824	12412604
T007-B1BALCells-PLmiRNA2_S27.Homo_sapiens.HTSeq	1387660	0	0	4951339	13543831	14448490
T007-B2BCGBAL-PBmiRNA1_S2.Homo_sapiens.HTSeq	886400	0	0	10130835	12488113	11681774
T007-B2BCGBAL-PLmiRNA2_S3.Homo_sapiens.HTSeq	1189979	0	0	8926574	13773915	12497834
T007-B2PPDBAL-PBmiRNA_S1.Homo_sapiens.HTSeq	1024843	0	0	13935308	13372610	10324404
T007-B2SalBAL-PBmiRNA_S29.Homo_sapiens.HTSeq	912569	0	0	18160493	12439340	13383292
T009-B1BALCells-PBmiRNA_S25.Homo_sapiens.HTSeq	270744	0	0	13453060	6473425	6204909
