Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
T004-B1BALCells-PB-miRNA_S1_qualimap	15754.9376155	17424.6303447	17951.5764638	18331.3676189	20662.0901842	21761.0796603	22610.2917148	23543.7083381	24040.1715218	24475.4180528	24903.438196	24964.4560467	24921.9520764	25177.6813496	25173.4272848	25273.8094288	25434.1531986	25613.4653865	25665.7209393	25671.7995536	25807.7492403	25643.9316504	25610.1063297	25562.9803554	25744.8439994	24132.7382929	23818.4624128	23662.6449589	22294.7044378	21857.44201	21785.6844304	21591.4542715	21843.4424116	21943.17004	21795.5891478	21746.7998468	21700.832852	21804.4765141	21848.4189371	21884.9798194	21918.0446224	21832.8208771	21820.0943547	21888.9512737	22013.9408006	21969.4947921	21702.3542731	21554.6411691	21541.0595797	21607.875389	21804.1906372	21788.6040259	21518.1304987	21379.06541	21341.5589718	21480.1040789	21617.8897034	21576.1791598	21477.9001232	21384.7175461	21318.1101162	21063.689903	20907.4523459	20854.8211196	20975.2230647	20955.175752	20878.1553293	21097.0221052	20950.1096526	20739.7205599	20629.7852749	20502.5691852	20787.4777515	20727.8293775	20785.7269804	20743.9764259	20786.270374	20692.0640796	20548.7313941	20650.8289313	20632.3285836	20486.5582359	20447.9309702	20388.7543534	20085.2406212	19582.1120361	19263.9450786	18812.3250724	18254.6256402	17551.3212716	16426.3293356	15213.7584397	14051.60501	12815.6085985	11483.9063388	9967.54329861	8230.20768555	6142.14031914	3984.34310199	1452.9403348
T004-B2BCGBAL-PB-miRNA_S11_qualimap	15646.5730211	17547.7924043	18412.8184209	19023.3296798	21269.4747527	22431.5713511	23280.3335709	24233.4745572	24655.4538681	25191.1924218	25671.8937299	25820.878752	25833.9437669	26069.2839857	26022.1608739	26133.7556992	26310.7647317	26445.659384	26487.2511757	26425.5336469	26477.1319551	26207.250257	26290.4453236	26253.9396943	26354.5749856	24878.4827184	24691.2620497	24652.2062867	23677.2984436	23231.7682099	23113.7207026	22862.5382751	23077.4917953	23228.214894	23179.3146282	23257.6113157	23178.5214751	23296.8698841	23344.4445401	23434.1901082	23507.9350147	23438.1389483	23374.9005841	23429.579813	23534.4185903	23454.8185875	23114.9883957	22857.7843828	22798.0350146	22930.8405845	23177.3623658	23211.2179562	22923.9482282	22685.3638983	22636.4087427	22792.2573661	22892.3655203	22766.0263089	22681.7624103	22685.275343	22620.2825971	22380.9430408	22188.8545428	22141.1242496	22333.7778326	22251.7330046	22095.5066981	22297.9114801	22131.7325886	21938.0792518	21812.3164118	21611.7718744	21741.7317641	21701.2212427	21734.0523058	21737.0666956	21781.3079566	21630.5134826	21352.2241584	21405.1713156	21366.3539236	21244.8711587	21171.8856355	21085.4493152	20717.1209297	20126.677465	19809.9145315	19350.5261971	18760.4953157	17953.867768	16829.0387716	15575.8533965	14396.1033669	13109.643246	11749.1286407	10137.3330725	8296.17881574	6161.25494887	3955.52411763	1370.28979398
T004-B2PPDBAL-PB-miRNA_S10_qualimap	4737.38231404	5211.44945893	5475.0713379	5702.69573602	6135.0294567	6424.14280391	6658.04630733	6876.79274442	6994.38571465	7148.77150501	7303.28945658	7343.42208503	7348.01841935	7397.36116413	7402.48292485	7416.69861529	7460.91383953	7504.92045011	7528.84069765	7534.15166135	7577.52699277	7544.71616314	7520.78244683	7499.64862075	7542.87018323	7383.8058056	7367.86924962	7341.63553075	7101.44984022	7021.26500912	7012.46300847	6927.98329636	6961.96334718	6998.38289414	6994.15506958	7007.06719805	7030.068126	7066.91569024	7070.15799765	7079.33428384	7107.93253894	7093.21410974	7105.64965899	7152.25369374	7181.51172708	7160.54083624	7073.39923005	7014.96258728	6988.63762725	7018.21382203	7059.16836377	7065.51475046	7004.1886322	6972.82377015	6958.79764705	6967.92419085	6985.96804285	6932.77630299	6889.4861973	6842.8712051	6829.96727523	6783.84127919	6753.59562315	6755.38394883	6792.94879593	6801.03797474	6773.90448345	6831.03062973	6811.69459969	6784.06936271	6765.76326588	6720.94828534	6763.48679398	6754.64444656	6752.29782817	6756.27375433	6767.25623064	6737.10841919	6694.26773629	6703.76569767	6688.02870649	6650.41091174	6630.64124349	6624.96843814	6538.04101288	6386.02240756	6293.37034891	6135.75286046	5933.20343273	5693.15978334	5362.82230517	4976.69719824	4606.01320823	4199.29182028	3746.56774839	3216.78807628	2610.67337685	1929.21297314	1241.1580723	428.407075493
T004-B2SalBAL-PB-miRNA_S9_qualimap	21605.031563	23696.224513	24752.7920385	25658.4441272	28155.7543603	29622.0966805	30794.791811	32004.3340682	32484.6779798	33101.6351077	33803.7548967	33920.2436159	33754.0980757	33892.1296024	33842.620894	33842.0179233	34023.9103721	34158.4413021	34311.3415017	34269.453806	34405.4921309	34085.7456907	33860.2052747	33732.5896362	33867.9534739	32490.955942	32203.3919616	32124.4437926	30651.7184611	30066.8002103	29969.7964004	29531.4276954	29663.2642038	29857.9446115	29700.7704072	29727.7076275	29638.3334695	29737.5437978	29641.508029	29601.307565	29684.090328	29527.1851511	29509.2824365	29707.6240673	29887.8366512	29781.9534511	29401.0124744	29061.331612	28940.4652474	29040.548342	29164.7938231	29244.5798587	28986.0381759	28674.3080966	28552.1082244	28529.075093	28529.1057595	28368.6066483	28196.8233006	28102.5983175	28107.1210016	27816.9006162	27563.4214458	27477.0244596	27647.8272706	27642.2140183	27576.9405944	27796.4846073	27648.6985957	27380.5257735	27243.7380003	27009.6960996	27327.5214517	27271.7473024	27207.3917172	27097.9412983	27053.8890749	26875.4718911	26532.3765208	26504.1171211	26453.2367061	26297.7520161	26192.5694189	26174.2120191	25812.716838	25292.162726	24925.3451532	24298.1987414	23459.9376634	22516.0869665	21236.8726749	19665.2267644	18175.9612863	16496.8839717	14720.6295972	12645.186336	10219.9829219	7690.27138361	5123.8531991	1851.10502847
T006-B1BALCells-PBmiRNA_S2_qualimap	24937.4925861	27428.7825563	28705.8007619	29842.8163312	32569.8457611	34199.7807444	35546.0978171	36905.5448967	37480.7336617	38187.6228067	38970.8743814	39075.0642857	38897.2509843	39049.6489792	38896.6133765	38853.15522	39032.5817614	39187.925609	39378.5027078	39266.5088821	39448.6303658	39023.2637817	38680.5709495	38497.6667861	38657.3180853	37312.2218853	37054.5789157	36945.5297213	34929.5575179	34208.0086104	33997.0068631	33349.8744899	33466.9091072	33679.4110575	33387.6431658	33360.710553	33207.4431516	33254.5584167	33116.8861876	33054.8712974	33160.2556241	33062.5028599	33163.9247925	33350.3084285	33592.9769667	33472.8997019	33068.6167324	32666.4477591	32543.3592848	32666.8153808	32794.3503398	32893.1573568	32568.5437495	32200.6577921	31988.9279558	31888.2748728	31849.1057937	31743.3821434	31511.2069567	31348.3978438	31371.7428999	31041.0015691	30746.4224868	30588.8480302	30772.2611325	30857.3765371	30781.117968	30972.8620744	30823.9294608	30566.9116453	30427.5091874	30249.3638466	30895.6256361	30959.7260875	30890.96498	30793.6046222	30660.1753347	30484.3294708	30124.6409575	30072.9657352	30027.4710005	29872.3481845	29850.4254445	29918.8797102	29497.6361528	28898.9494607	28413.3532383	27749.9660768	26709.6530675	25666.284167	24253.0495284	22411.6556944	20703.3206337	18886.4996399	16941.7518636	14635.034074	11902.3475265	9014.67369143	6169.9128283	2297.80169514
T006-B2BCGBAL-PBmiRNA_S13_qualimap	37844.5158366	42778.9379074	44665.1341741	45827.5930625	51778.7060188	54514.7026741	56604.2062182	58627.0223803	59177.2970457	60062.3760793	60807.9290488	60682.2535455	60168.0627966	60336.1307675	59861.6098376	59788.5894818	60047.2606405	60225.3008498	60498.9958936	60179.7680552	60455.2929292	59713.2055035	59526.2061279	59279.7745225	59738.9348585	55657.9994129	54786.3500305	54523.6095442	50110.9897006	48539.2928597	48289.8526727	47560.1311048	47849.3524495	48073.5602839	47458.6716604	47329.6510528	46953.0551074	47151.1223022	47162.6072834	47233.2367931	47508.1397078	47375.9847284	47323.4751682	47352.7383026	47686.021628	47495.7342124	46855.5524379	46155.9190968	46063.3542473	46351.0854766	46609.7060076	46685.8175433	46050.894767	45432.588632	45214.8911915	45186.6500546	45222.2116064	45121.1159268	44975.4910023	44988.1435319	44989.0219216	44474.5121943	44077.7336479	43820.5711656	43950.2241927	43821.5665713	43655.6639481	43955.8405617	43579.067235	43032.673081	42984.1849689	42962.87362	44485.1931467	44546.3102374	44443.6104757	44105.4305441	43893.9913578	43598.5599924	42933.6195139	42909.3012177	42868.2505299	42671.438366	42557.4993754	42596.443423	41879.1755767	41050.1255388	40280.321086	39408.5014528	38127.900801	36740.7157109	34664.8443401	32021.5508052	29558.991161	26961.8576729	24310.9932628	21098.4922748	17358.0143501	13417.4594139	9432.99451684	3786.91311114
T006-B2PPDBAL-PLmiRNA_S15_qualimap	26195.4840531	29206.3008224	30752.690064	31762.8257822	36059.5866875	38192.7590438	39898.4358183	41547.8003953	42036.7151006	42790.2738295	43447.5856845	43500.3534824	43464.4920957	43722.8614124	43505.9249002	43515.349948	43829.786894	43942.3975979	44062.9994132	43906.2027844	43886.6693405	43352.3319337	43241.9670438	43164.0297123	43458.193637	40594.871204	40141.5398954	39888.8239158	37981.9510523	37042.2643541	36809.5655641	36361.8095778	36663.6438284	36961.1345897	36679.8299007	36832.1005891	36831.8924418	37095.143092	37081.7384399	37216.4949129	37570.0102042	37448.8283371	37353.564939	37381.2917132	37473.5545894	37225.3683058	36621.4807174	35984.5209119	35838.4462042	36080.4027269	36376.1134068	36428.2774561	36071.3682881	35524.2911114	35373.3991389	35377.5050965	35441.9479118	35168.0033877	34916.7873383	34940.9814277	34901.9677557	34583.6879507	34361.0661322	34222.8142504	34426.3041246	34305.3427862	34010.2257219	34301.215377	34087.6217385	33616.6549346	33466.8101343	33223.6664463	33626.7693768	33611.4906514	33582.232895	33502.1494551	33289.9972444	33134.9035925	32638.9905397	32551.2268395	32502.0439115	32283.059894	32118.2857473	32031.1289819	31471.1302971	30625.5400893	30064.5233225	29481.238983	28541.7765249	27425.7001282	25810.7420993	23769.6944348	21803.5823007	19778.8007544	17753.7439802	15281.3168117	12456.1651293	9360.66778518	6219.65142569	2284.70313089
T006-B2SalBAL-PBmiRNA_S12_qualimap	19875.9132353	21725.2717841	22685.7967133	23558.755229	26035.0016001	27424.6086425	28510.8398972	29531.5668963	29900.3180836	30480.6762377	31095.6707992	31141.4270246	30941.1021254	31023.0972497	30873.1485716	30813.8049858	30901.4760646	30989.4350833	31107.352027	30930.7436137	31025.6963103	30608.1918082	30345.603449	30191.3932833	30418.8283962	29094.1406427	28821.0613315	28693.9453839	27305.081537	26722.5412638	26565.5836715	26075.8452618	26233.3462648	26433.2708245	26277.97399	26293.3269873	26200.8319375	26305.0836322	26265.10147	26250.1794392	26404.957426	26371.2678292	26451.2834129	26599.251405	26729.3800233	26566.0269155	26190.6959248	25794.2709198	25626.769896	25764.1822585	25924.175635	25986.4879164	25647.9769325	25385.3655972	25248.6453059	25173.2241684	25156.5913131	25028.1154736	24836.5583038	24682.745165	24663.3167594	24428.6540557	24219.0842699	24101.4589383	24232.7577493	24282.1804446	24200.5169794	24380.7833794	24286.3879942	24102.4943745	24039.2034515	23895.6539962	24279.6751378	24263.6697926	24228.1498163	24165.039764	24096.5132247	23973.4427209	23668.5960588	23620.0046069	23583.3567968	23461.879879	23444.869093	23468.4052787	23107.5717835	22606.0976701	22285.7364917	21813.527677	20982.3651053	20152.7515227	19027.624122	17535.6274015	16127.0948034	14707.1946669	13215.4907758	11414.1962803	9314.41278256	7083.39988682	4775.22718005	1716.55561185
T006-B2TSTBAL-PBmiRNA_S14_qualimap	24596.3878556	27781.7048294	29226.4810142	30056.3980987	35135.5685551	37202.2668245	38657.5947982	40039.4176969	40317.3559646	40914.2655588	41441.1530574	41432.4149354	41260.4088153	41442.6534143	41247.4860749	41201.1625068	41382.3169537	41478.2319202	41649.8863839	41469.5664182	41616.1341192	41253.2363445	41309.0251151	41184.2788167	41364.5930814	37459.6853289	36702.1829966	36440.0282026	34077.8023663	33031.6217477	32771.1680733	32400.6899421	32559.8192835	32803.0730723	32529.4019089	32515.0637954	32450.7787456	32667.3293598	32665.1216936	32867.9066331	33314.2396119	33378.9233487	33307.7752231	33244.8974961	33368.0957852	33088.6967053	32608.575899	32073.1935983	32004.2380748	32284.3175939	32558.9535983	32643.0503191	32383.547442	31862.6363108	31675.3597551	31665.5038688	31752.4105621	31607.9715	31559.258904	31703.0391321	31676.8559858	31404.4208305	31188.1348089	31009.618132	31045.3420733	30847.7257545	30519.7294238	30825.0351057	30569.826827	30093.2915627	30051.3992968	29874.642333	30328.4439633	30270.5371338	30173.8824612	29947.0214699	29666.6854798	29490.966826	29028.7996141	29003.6817067	28954.6772183	28685.0827366	28507.8072169	28430.2574145	27885.9082148	27128.3601749	26585.3770513	25998.5002722	25110.1467129	24142.2570689	22722.9298231	20886.5341608	19218.3802642	17409.957362	15652.3943688	13482.539091	10959.217886	8343.70011899	5636.72953834	2051.54512672
T007-B1BALCells-PBmiRNA1_S26_qualimap	26474.3083851	29152.4630372	30270.0534175	31076.3748748	36008.8160673	38066.7750667	39452.5490462	40932.2851697	41444.4833232	42144.1334192	42862.7809715	42843.9700621	42776.0358724	42976.7393229	42669.2502947	42724.1991001	43040.7614061	43253.4463014	43389.9946577	43148.1395194	43305.1053691	42967.9156041	42999.6149684	42906.055159	43284.256998	39689.9521646	39122.4129455	38906.8549445	36956.323348	36036.4721561	35871.662701	35440.2937948	35647.2730998	35841.4540495	35658.8373172	35676.0075823	35638.9229668	35880.996225	35916.8431857	36086.851875	36287.2575558	36149.7528059	36163.5836902	36313.5857496	36569.7346479	36396.8639864	35862.215506	35329.8700123	35188.9299628	35400.0767978	35645.94168	35744.0873758	35426.3111664	34927.2115161	34796.3802636	34785.3086579	34784.5301639	34484.1756315	34362.1194872	34397.4155572	34389.8400185	34085.3829733	33839.3100301	33693.499497	33831.3005439	33758.769831	33566.4066468	33787.0379303	33561.8694422	33191.4405338	33024.1520775	32773.7109119	33191.4047145	33198.0580958	33257.3420598	33083.1462097	32918.0162679	32725.604927	32279.6738697	32228.9840236	32175.610217	31950.3119923	31687.7588422	31638.6689847	31232.2162567	30530.2921624	30087.9950719	29409.2486279	28571.4597797	27528.6266068	25799.7014901	23762.9506559	21837.5079475	19789.4628945	17698.6418848	15195.2741734	12349.8891485	9277.63273004	6144.6880709	2217.30515948
