"gene_id" "gene_biotype"
"1" "ENSG00000223972" "transcribed_unprocessed_pseudogene"
"13" "ENSG00000227232" "unprocessed_pseudogene"
"26" "ENSG00000278267" "miRNA"
"29" "ENSG00000243485" "lincRNA"
"39" "ENSG00000237613" "lincRNA"
"47" "ENSG00000268020" "unprocessed_pseudogene"
"50" "ENSG00000240361" "unprocessed_pseudogene"
"53" "ENSG00000186092" "protein_coding"
"59" "ENSG00000238009" "lincRNA"
"82" "ENSG00000239945" "lincRNA"
"86" "ENSG00000233750" "processed_pseudogene"
"89" "ENSG00000268903" "processed_pseudogene"
"92" "ENSG00000269981" "processed_pseudogene"
"95" "ENSG00000239906" "antisense"
"99" "ENSG00000241860" "processed_transcript"
"120" "ENSG00000222623" "snRNA"
"123" "ENSG00000241599" "lincRNA"
"127" "ENSG00000279928" "protein_coding"
"138" "ENSG00000279457" "protein_coding"
"223" "ENSG00000273874" "miRNA"
"226" "ENSG00000228463" "lincRNA"
"246" "ENSG00000241670" "processed_pseudogene"
"249" "ENSG00000236679" "processed_pseudogene"
"252" "ENSG00000236743" "lincRNA"
"257" "ENSG00000236601" "lincRNA"
"267" "ENSG00000237094" "lincRNA"
"333" "ENSG00000269732" "processed_pseudogene"
"336" "ENSG00000278566" "protein_coding"
"342" "ENSG00000224813" "transcribed_unprocessed_pseudogene"
"345" "ENSG00000233653" "processed_pseudogene"
"349" "ENSG00000250575" "unprocessed_pseudogene"
"353" "ENSG00000278757" "snRNA"
"356" "ENSG00000230021" "lincRNA"
"412" "ENSG00000235146" "lincRNA"
"419" "ENSG00000225972" "unprocessed_pseudogene"
"422" "ENSG00000225630" "unprocessed_pseudogene"
"425" "ENSG00000237973" "unprocessed_pseudogene"
"428" "ENSG00000278791" "miRNA"
"431" "ENSG00000229344" "unprocessed_pseudogene"
"434" "ENSG00000240409" "unprocessed_pseudogene"
"437" "ENSG00000248527" "unprocessed_pseudogene"
"440" "ENSG00000198744" "unprocessed_pseudogene"
"443" "ENSG00000268663" "processed_pseudogene"
